policy,training_seed,environment_seed,scenario,regime,raw_episode_reward,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,samples_delivered,samples_requested,sample_rejections,channel_blocks,sleep_actions,sample_actions,sample_action_fraction,ablation,model_path
Full QMIX,102,1014,volatile,coordinated,38.67800000000003,0.559322033898305,0.44067796610169496,11.795839999999973,27.16643055612605,0.045163950917879433,7.993055555555555,34.0,56.0,49.0,0.9618055555555556,0.5379590395480226,232,267,0,35,885,267,0.23177083333333334,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1015,volatile,coordinated,58.94166666666666,0.5506329113924051,0.4493670886075949,13.095840000000063,27.984652380248956,0.013426941011830262,7.782118055555555,32.0,55.0,53.0,0.9632523148148147,0.5303984265119549,258,296,0,38,856,296,0.2569444444444444,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1016,volatile,coordinated,107.75166666666652,0.5123674911660777,0.4876325088339223,14.245840000000063,27.74034214332949,0.015912217320134807,7.941840277777778,37.0,65.0,64.0,0.9198495370370369,0.47130099954194465,281,343,0,62,809,343,0.2977430555555556,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1017,volatile,coordinated,67.9223333333334,0.47079037800687284,0.5292096219931272,13.295840000000105,27.7096812165475,0.028693633946841938,9.686631944444445,40.450000000000045,62.0,72.0,0.8761574074074074,0.41248647702685504,262,315,0,53,837,315,0.2734375,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1018,volatile,coordinated,138.53333333333322,0.5892857142857143,0.4107142857142857,14.845840000000084,27.811885286899123,0.026343417597687165,7.6875,35.0,59.0,70.0,0.9629629629629631,0.5674603174603176,293,351,0,58,801,351,0.3046875,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1019,volatile,coordinated,28.564666666666675,0.4631578947368421,0.5368421052631579,12.595840000000013,28.392817341526957,0.0260451274483352,8.565972222222221,39.450000000000045,66.0,47.0,0.9267939814814814,0.42925194931773875,248,292,0,44,860,292,0.2534722222222222,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1020,volatile,coordinated,41.077,0.4666666666666667,0.5333333333333333,13.24584000000004,27.540248359265487,0.025933077184226973,7.5234375,31.0,47.0,66.0,0.9253472222222222,0.4318287037037037,261,329,0,68,823,329,0.2855902777777778,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1021,volatile,coordinated,49.66699999999999,0.4801762114537445,0.5198237885462555,13.195840000000018,27.668333776553673,0.010722313364592872,7.6171875,34.0,52.0,65.0,0.9418402777777778,0.4522492963778757,260,324,0,64,828,324,0.28125,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1022,volatile,coordinated,57.78566666666672,0.4927536231884058,0.5072463768115942,13.395840000000026,27.780487312650067,0.04237261605828621,8.77951388888889,39.450000000000045,64.0,52.0,0.9189814814814814,0.4528314546430488,264,295,0,31,857,295,0.2560763888888889,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1023,volatile,coordinated,80.86433333333326,0.5257731958762887,0.4742268041237113,13.495840000000051,28.173412349677125,0.02507042921309449,9.961805555555555,41.450000000000045,62.0,44.0,0.9377893518518517,0.49306450458190143,266,300,0,34,852,300,0.2604166666666667,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
