ablation,environment_seed,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,raw_episode_reward,sample_action_fraction
no_agent_id,1008,0.43033509700176364,0.5696649029982364,10.795839999999961,27.813389786660803,0.026577321656639247,7.012152777777778,26.81666666666668,53.666666666666664,47.333333333333336,0.902488425925926,0.3884377653667778,1.2476666666666378,0.21006944444444445
no_agent_id,1009,0.4827586206896552,0.5172413793103448,11.879173333333318,27.58535144988277,0.015871703119074203,6.052083333333333,21.666666666666668,41.666666666666664,45.666666666666664,0.9536072530864197,0.46066335218634064,54.1022222222222,0.23697916666666666
no_agent_id,1010,0.5470494417862839,0.4529505582137161,12.912506666666738,27.87536673639651,0.029585273212770238,6.0271990740740735,23.633333333333365,42.333333333333336,66.33333333333333,0.9543788580246915,0.5221194953925218,97.27477777777771,0.2624421296296296
no_agent_id,1011,0.49170437405731526,0.5082956259426847,12.795840000000004,27.8041058670549,0.012865147729518698,7.576099537037037,31.666666666666668,53.0,58.666666666666664,0.9046103395061729,0.44484464904195303,57.55244444444443,0.2505787037037037
no_agent_id,1012,0.4676616915422886,0.5323383084577115,13.329173333333372,27.719253047701116,0.1600940611520065,7.8243634259259265,35.9666666666667,61.666666666666664,65.33333333333333,0.90258487654321,0.4221031704901419,46.30711111111111,0.2667824074074074
no_agent_id,1013,0.5529865125240847,0.4470134874759153,12.595840000000088,27.505443767934835,0.1742710306235272,7.4415509259259265,30.966666666666697,61.0,47.333333333333336,0.9665316358024691,0.5344819319560408,79.6177777777777,0.24305555555555558
no_agent_id,1014,0.5847457627118644,0.4152542372881356,10.612506666666619,27.16643055612605,0.18056053374784922,6.935185185185186,25.333333333333332,55.333333333333336,43.666666666666664,0.967013888888889,0.5654866996233522,57.44166666666666,0.20659722222222224
no_agent_id,1015,0.6054852320675105,0.39451476793248946,12.662506666666745,27.984652380248956,0.09605202632159342,5.936342592592593,22.48333333333335,43.0,52.0,0.9782021604938271,0.5922922526957337,97.47655555555558,0.24537037037037038
no_agent_id,1016,0.5465253239104829,0.453474676089517,14.062506666666735,27.74034214332949,0.02374399968733083,5.971064814814814,27.150000000000016,52.333333333333336,67.33333333333333,0.9283371913580246,0.507393638485364,144.34444444444446,0.2986111111111111
no_agent_id,1017,0.5051546391752577,0.4948453608247423,13.262506666666779,27.709681216547505,0.01962862227936068,8.537905092592593,36.0,57.666666666666664,70.33333333333333,0.8865740740740741,0.4478739102074583,107.26699999999995,0.27980324074074076
no_agent_id,1018,0.6324404761904762,0.3675595238095239,14.32917333333343,27.811885286899123,0.18186539519608166,6.094039351851852,27.333333333333332,47.666666666666664,73.33333333333333,0.9803240740740741,0.6200112640542328,177.72399999999993,0.3020833333333333
no_agent_id,1019,0.4964912280701754,0.5035087719298246,11.995840000000006,28.39281734152696,0.1336348150285486,5.843460648148148,21.633333333333365,45.333333333333336,52.333333333333336,0.9403935185185185,0.46691743827160487,55.714999999999975,0.24681712962962962
no_agent_id,1020,0.4797385620915033,0.5202614379084968,12.879173333333357,27.540248359265487,0.03300164370596004,6.783275462962963,28.81666666666668,44.666666666666664,65.33333333333333,0.9312307098765432,0.44684247155652385,57.03044444444447,0.27314814814814814
no_agent_id,1021,0.5212922173274596,0.4787077826725404,12.429173333333344,27.66833377655367,0.02860716270884595,7.447627314814814,33.0,57.333333333333336,57.333333333333336,0.945601851851852,0.4930835984663077,89.85133333333334,0.2604166666666667
no_agent_id,1022,0.5265700483091788,0.4734299516908213,12.545840000000027,27.780487312650067,0.11298191957272169,8.29542824074074,36.48333333333335,65.33333333333333,50.333333333333336,0.9271797839506172,0.4882539922168545,87.71077777777776,0.24131944444444445
no_agent_id,1023,0.556701030927835,0.443298969072165,12.345840000000011,28.173412349677125,0.09969526919105387,8.741898148148147,35.816666666666684,59.0,44.666666666666664,0.9447337962962962,0.5259387528636884,107.70866666666666,0.2355324074074074
no_agent_id,1024,0.6780626780626781,0.32193732193732194,11.595840000000054,27.734086011533236,0.3504262356602139,5.731770833333333,20.0,34.333333333333336,43.666666666666664,0.9823495370370371,0.6661077477049698,98.79366666666658,0.22453703703703706
no_agent_id,1025,0.45985401459854014,0.5401459854014599,13.21250666666671,27.631273780374894,0.02154386586391797,5.74681712962963,23.333333333333332,42.0,62.333333333333336,0.9126157407407408,0.4196974689105164,48.96866666666667,0.2702546296296296
no_agent_id,1026,0.5193236714975845,0.48067632850241554,11.729173333333321,28.031244741185912,0.03902107972112487,7.306712962962963,27.966666666666697,56.0,40.666666666666664,0.9624807098765432,0.5002327395330113,39.597777777777786,0.22395833333333334
no_agent_id,1027,0.5899122807017544,0.41008771929824567,11.662506666666653,27.875509386714086,0.0927740167548791,7.221354166666667,27.150000000000016,48.333333333333336,47.333333333333336,0.9785879629629629,0.5773483187134502,89.86133333333332,0.2332175925925926
no_agent_id,1028,0.5783664459161147,0.4216335540838852,12.095840000000043,27.621479294635346,0.11843434241921125,6.6681134259259265,27.333333333333332,53.0,49.333333333333336,0.9819637345679012,0.5680526173248303,80.50122222222218,0.23640046296296294
no_agent_id,1029,0.5422427035330261,0.4577572964669739,12.779173333333377,27.800474848912,0.048970648999760974,5.78125,22.333333333333332,42.333333333333336,59.0,0.9539930555555555,0.5174051139272914,101.34999999999997,0.265625
no_agent_id,1030,0.5454545454545454,0.4545454545454546,12.645840000000044,27.873481980284083,0.0887994160084105,6.728877314814814,28.150000000000016,62.0,59.0,0.9397183641975309,0.5125941124205012,108.06522222222218,0.2690972222222222
no_aoi,1001,0.46644664466446645,0.5335533553355335,13.9625066666667,27.869978979177933,0.013897866633121191,9.054108796296296,37.333333333333336,57.0,67.33333333333333,0.8994020061728395,0.4195414043719187,57.05811111111111,0.2974537037037037
no_aoi,1002,0.5230961298377029,0.4769038701622971,15.17917333333346,28.1960693899323,0.023026133643062534,8.344907407407407,36.15000000000001,60.0,76.0,0.9445408950617283,0.4944914776668054,99.01211111111111,0.3208912037037037
no_aoi,1003,0.4666666666666666,0.5333333333333333,13.395840000000035,28.045742792782573,0.04115152014458454,8.442418981481481,34.15000000000001,54.333333333333336,46.333333333333336,0.9396219135802469,0.43929820119598767,7.638777777777746,0.26533564814814814
no_aoi,1004,0.49939393939393933,0.5006060606060606,14.495840000000108,27.778055887166204,0.024316318660522446,9.175347222222221,41.0,63.666666666666664,71.0,0.8914930555555555,0.4457417929292929,86.09133333333328,0.3041087962962963
no_aoi,1005,0.48879551820728295,0.511204481792717,13.17917333333336,27.612860050191575,0.024484148026931152,10.064236111111112,42.0,63.333333333333336,61.666666666666664,0.9349922839506172,0.4581858206245461,50.18544444444448,0.2786458333333333
no_aoi,1006,0.40856031128404674,0.5914396887159533,14.179173333333408,27.73702749384593,0.007790579465079869,8.499131944444445,36.15000000000001,57.666666666666664,52.0,0.8801118827160493,0.36031135910553874,-14.174111111111083,0.28703703703703703
no_aoi,1007,0.42119944211994415,0.5788005578800558,13.812506666666735,27.847617605125972,0.010132941109480117,8.15943287037037,32.30000000000003,55.333333333333336,58.666666666666664,0.8825231481481483,0.37225983392737233,-7.100666666666622,0.28269675925925924
no_aoi,1008,0.36684303350970016,0.6331569664902998,12.395840000000012,27.813389786660803,0.013534566751142974,9.429108796296296,36.48333333333335,60.333333333333336,51.333333333333336,0.8860918209876543,0.32541162469789014,-53.57988888888889,0.24045138888888892
no_aoi,1009,0.3924466338259442,0.6075533661740559,13.21250666666671,27.58535144988277,0.014462758368055434,8.792824074074074,35.666666666666664,56.666666666666664,49.333333333333336,0.9161844135802468,0.3604749171379918,-29.20022222222222,0.2673611111111111
no_aoi,1010,0.49760765550239233,0.5023923444976076,13.679173333333424,27.87536673639651,0.025643441471765324,8.611689814814815,34.333333333333336,57.0,67.33333333333333,0.9391396604938272,0.46745553118908384,51.84922222222222,0.2757523148148148
no_aoi,1011,0.4343891402714932,0.5656108597285068,13.695840000000034,27.8041058670549,0.014898417109838696,9.550636574074074,39.816666666666684,59.0,57.0,0.8737461419753086,0.38025153971845144,0.4232222222222409,0.27285879629629634
no_aoi,1012,0.40298507462686567,0.5970149253731343,14.579173333333387,27.719253047701116,0.06954140781276082,9.162326388888888,41.48333333333335,61.333333333333336,64.66666666666667,0.875,0.353501589275843,-26.837666666666696,0.29658564814814814
no_aoi,1013,0.45472061657032753,0.5452793834296724,13.795840000000112,27.505443767934835,0.05826480086832165,9.73263888888889,41.666666666666664,63.0,50.0,0.935763888888889,0.4261667737101263,4.420999999999997,0.26909722222222227
no_aoi,1014,0.5282485875706214,0.4717514124293785,12.195840000000002,27.16643055612605,0.07659639853775567,8.969039351851853,35.666666666666664,58.0,45.333333333333336,0.9615162037037037,0.508011122881356,25.99366666666666,0.2366898148148148
no_aoi,1015,0.5316455696202532,0.46835443037974683,13.712506666666746,27.984652380248956,0.03303153392678272,8.177083333333334,33.666666666666664,58.333333333333336,53.0,0.9629629629629631,0.5123230924753869,46.84599999999995,0.2667824074074074
