policy,environment_seed,raw_episode_reward,event_recall,total_energy_consumption,mean_aoi,redundant_sampling,network_coverage,samples_delivered,samples_requested,channel_blocks,sample_action_fraction
QMIX Majority Ensemble,239,191.58533333333338,0.6228070175438597,12.595840000000068,4.430555555555555,51.0,0.9673032407407407,248.0,284.0,36.0,0.2465277777777778
QMIX Majority Ensemble,240,146.40233333333342,0.5276872964169381,12.49584000000006,5.113715277777778,59.0,0.8822337962962963,246.0,288.0,42.0,0.25
QMIX Majority Ensemble,241,87.73666666666662,0.646551724137931,10.395839999999897,4.9765625,41.0,0.991898148148148,204.0,232.0,28.0,0.2013888888888889
QMIX Majority Ensemble,242,13.227666666666662,0.46825396825396826,9.545839999999954,6.828125,35.0,0.9467592592592593,187.0,206.0,19.0,0.17881944444444445
QMIX Majority Ensemble,243,128.13,0.6280487804878049,11.295840000000048,4.310763888888889,47.0,0.9748263888888888,222.0,247.0,25.0,0.2144097222222222
QMIX Majority Ensemble,244,177.70233333333329,0.5724381625441696,12.295840000000005,6.319444444444445,58.0,0.9334490740740742,242.0,284.0,42.0,0.2465277777777778
QMIX Majority Ensemble,245,172.82766666666663,0.70625,11.445840000000125,4.661458333333333,47.0,0.9936342592592593,225.0,260.0,35.0,0.22569444444444445
QMIX Majority Ensemble,246,156.26933333333324,0.6536312849162011,10.995840000000012,6.0625,49.0,0.9681712962962964,216.0,251.0,35.0,0.21788194444444445
QMIX Majority Ensemble,247,201.458,0.5932203389830508,13.5458400000001,3.5677083333333335,73.0,0.9522569444444444,267.0,332.0,65.0,0.2881944444444444
QMIX Majority Ensemble,248,116.95633333333336,0.5346938775510204,11.295839999999965,6.616319444444445,51.0,0.9265046296296295,222.0,258.0,36.0,0.22395833333333334
QMIX Majority Ensemble,249,125.66133333333335,0.5808080808080808,10.945839999999984,6.643229166666667,38.0,0.9508101851851851,215.0,251.0,36.0,0.21788194444444445
QMIX Majority Ensemble,250,185.14700000000005,0.6046511627906976,11.995839999999998,5.573784722222222,67.0,0.9548611111111112,236.0,290.0,54.0,0.2517361111111111
QMIX Unanimous Ensemble,231,169.09566666666663,0.5991561181434599,12.14584,4.860243055555555,56.0,0.9710648148148149,239.0,285.0,46.0,0.24739583333333334
QMIX Unanimous Ensemble,232,119.41466666666659,0.6204819277108434,11.395840000000023,4.667534722222222,49.0,0.9780092592592591,224.0,259.0,35.0,0.2248263888888889
QMIX Unanimous Ensemble,233,136.9923333333332,0.5643153526970954,11.495839999999957,5.177951388888889,55.0,0.9369212962962964,226.0,269.0,43.0,0.23350694444444445
QMIX Unanimous Ensemble,234,163.20933333333343,0.6108597285067874,11.495840000000001,5.079861111111111,59.0,0.9620949074074073,226.0,276.0,50.0,0.23958333333333334
QMIX Unanimous Ensemble,235,264.53500000000014,0.6865079365079365,13.045840000000076,4.163194444444445,68.0,0.9809027777777778,257.0,307.0,50.0,0.2664930555555556
QMIX Unanimous Ensemble,236,142.19199999999995,0.6824324324324325,10.195839999999905,5.050347222222222,48.0,0.9965277777777778,200.0,235.0,35.0,0.20399305555555555
QMIX Unanimous Ensemble,237,238.80266666666662,0.6563706563706564,13.14584000000001,4.605902777777778,70.0,0.9745370370370371,259.0,321.0,62.0,0.2786458333333333
QMIX Unanimous Ensemble,238,142.04699999999994,0.6105263157894737,11.345839999999972,4.938368055555555,50.0,0.9618055555555556,223.0,253.0,30.0,0.21961805555555555
QMIX Unanimous Ensemble,239,196.90833333333336,0.6271929824561403,12.495840000000051,4.497395833333333,48.0,0.9673032407407407,246.0,280.0,34.0,0.24305555555555555
QMIX Unanimous Ensemble,240,153.7943333333333,0.5342019543973942,12.395840000000062,5.120659722222222,59.0,0.8822337962962963,244.0,284.0,40.0,0.2465277777777778
QMIX Unanimous Ensemble,241,88.13466666666662,0.646551724137931,10.345839999999894,4.891493055555555,41.0,0.991898148148148,203.0,229.0,26.0,0.1987847222222222
QMIX Unanimous Ensemble,242,14.421666666666662,0.46825396825396826,9.145839999999898,7.011284722222222,34.0,0.9467592592592593,179.0,197.0,18.0,0.17100694444444445
QMIX Unanimous Ensemble,243,128.89899999999992,0.6280487804878049,11.145840000000046,4.424479166666667,46.0,0.9748263888888888,219.0,243.0,24.0,0.2109375
QMIX Unanimous Ensemble,244,181.48733333333325,0.5759717314487632,12.245840000000005,6.072048611111111,59.0,0.9351851851851853,241.0,284.0,43.0,0.2465277777777778
QMIX Unanimous Ensemble,245,179.17966666666666,0.7125,10.895840000000096,4.96875,43.0,0.9936342592592593,214.0,248.0,34.0,0.2152777777777778
QMIX Unanimous Ensemble,246,156.59833333333327,0.6536312849162011,10.695839999999992,6.297743055555555,49.0,0.9681712962962964,210.0,245.0,35.0,0.2126736111111111
QMIX Unanimous Ensemble,247,205.717,0.5966101694915255,13.4458400000001,3.6901041666666665,73.0,0.9539930555555556,265.0,328.0,63.0,0.2847222222222222
QMIX Unanimous Ensemble,248,120.33433333333333,0.5387755102040817,10.995839999999962,7.421006944444445,51.0,0.9265046296296295,216.0,251.0,35.0,0.21788194444444445
QMIX Unanimous Ensemble,249,125.83633333333333,0.5808080808080808,10.845839999999981,6.664930555555555,38.0,0.9508101851851851,213.0,249.0,36.0,0.21614583333333334
QMIX Unanimous Ensemble,250,191.394,0.6085271317829457,11.695839999999976,5.704861111111111,65.0,0.9583333333333334,230.0,281.0,51.0,0.2439236111111111
