policy,environment_seed,raw_episode_reward,event_recall,total_energy_consumption,mean_aoi,redundant_sampling,network_coverage,samples_delivered,samples_requested,channel_blocks,sample_action_fraction
Greedy,4005,-184.00633333333354,0.33121019108280253,19.845840000000216,7.808159722222222,191.0,0.9233217592592591,393.0,761.0,368.0,0.6605902777777778
Greedy,4006,-162.62899999999982,0.35751295336787564,18.99584000000017,9.572916666666666,185.0,0.9079861111111112,376.0,729.0,353.0,0.6328125
Greedy,4007,-104.98799999999981,0.44148936170212766,19.245840000000186,9.047743055555555,182.0,0.9375,381.0,723.0,342.0,0.6276041666666666
Greedy,4008,-211.5430000000002,0.29381443298969073,19.295840000000187,8.808159722222221,178.0,0.8611111111111112,382.0,731.0,349.0,0.6345486111111112
Greedy,4009,-245.04033333333336,0.271889400921659,19.695840000000207,8.233506944444445,191.0,0.8703703703703703,390.0,749.0,359.0,0.6501736111111112
Greedy,4010,-180.60099999999986,0.34146341463414637,19.89584000000022,7.615451388888889,191.0,0.8993055555555556,394.0,760.0,366.0,0.6597222222222222
Greedy,4011,-149.30033333333404,0.3682170542635659,19.79584000000021,7.933159722222222,190.0,0.9137731481481483,392.0,760.0,368.0,0.6597222222222222
Greedy,4012,-199.64766666666688,0.3224489795918367,19.295840000000187,9.09201388888889,179.0,0.8614004629629629,382.0,730.0,348.0,0.6336805555555556
Greedy,4013,-234.1339999999988,0.27450980392156865,19.09584000000018,9.284722222222221,179.0,0.8645833333333334,378.0,727.0,349.0,0.6310763888888888
Greedy,4014,-220.45200000000054,0.29245283018867924,19.19584000000018,8.8203125,186.0,0.8680555555555556,380.0,735.0,355.0,0.6380208333333334
Greedy,4015,-217.04699999999963,0.292817679558011,19.4958400000002,8.631944444444445,190.0,0.8836805555555556,386.0,748.0,362.0,0.6493055555555556
Greedy,4016,-125.80100000000053,0.40217391304347827,19.345840000000187,8.778645833333334,184.0,0.9340277777777778,383.0,739.0,356.0,0.6414930555555556
Greedy,4017,-272.19399999999973,0.2620689655172414,19.14584000000018,9.042534722222221,187.0,0.8072916666666666,379.0,740.0,361.0,0.6423611111111112
Greedy,4018,-219.18500000000023,0.2935323383084577,19.4958400000002,8.719618055555555,182.0,0.8567708333333334,386.0,741.0,355.0,0.6432291666666666
Greedy,4019,-182.028,0.3333333333333333,19.19584000000018,9.2890625,181.0,0.8854166666666666,380.0,731.0,351.0,0.6345486111111112
Greedy,4020,-94.57900000000026,0.5175438596491229,19.09584000000018,9.436631944444445,184.0,0.9722222222222222,378.0,725.0,347.0,0.6293402777777778
Greedy,4021,-169.93900000000085,0.3532608695652174,19.09584000000018,9.291666666666666,182.0,0.8854166666666666,378.0,730.0,352.0,0.6336805555555556
Greedy,4022,-164.04766666666748,0.35570469798657717,19.445840000000196,8.950520833333334,180.0,0.9351851851851851,385.0,733.0,348.0,0.6362847222222222
Greedy,4023,-239.3153333333329,0.2764227642276423,19.14584000000018,8.942708333333334,177.0,0.8530092592592592,379.0,724.0,345.0,0.6284722222222222
Greedy,4024,-206.18100000000035,0.3142857142857143,18.945840000000167,9.528645833333334,182.0,0.8368055555555556,375.0,725.0,350.0,0.6293402777777778
