policy,environment_seed,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,raw_episode_reward,sample_action_fraction,samples_delivered,samples_requested,channel_blocks
Fixed Interval,214,0.10135135135135136,0.8986486486486487,4.995839999999857,27.94823480825298,0.6700316156900371,5.4375,11.0,11.0,0.0,0.6814236111111112,0.06906320382882884,-322.5879999999989,0.08333333333333333,96.0,96.0,0.0
Fixed Interval,215,0.06688963210702341,0.9331103678929766,4.995839999999857,27.457604887378945,0.6698309493788689,5.4375,11.0,11.0,0.0,0.644675925925926,0.043122135513439866,-366.6713333333311,0.08333333333333333,96.0,96.0,0.0
Fixed Interval,216,0.08050847457627118,0.9194915254237288,4.995839999999857,27.32361408507136,0.6697848034622227,5.4375,11.0,11.0,0.0,0.7256944444444444,0.05842455273069679,-278.3379999999993,0.08333333333333333,96.0,96.0,0.0
Fixed Interval,217,0.08115942028985507,0.9188405797101449,4.995839999999857,28.049193411107996,0.6697262103188772,5.4375,11.0,11.0,0.0,0.6041666666666666,0.049033816425120766,-403.3379999999979,0.08333333333333333,96.0,96.0,0.0
Fixed Interval,218,0.08121827411167512,0.9187817258883249,4.995839999999857,27.828259921270625,0.6700413999340781,5.4375,11.0,11.0,0.0,0.7601273148148149,0.0617362286144012,-232.42133333333345,0.08333333333333333,96.0,96.0,0.0
Fixed Interval,219,0.1024390243902439,0.8975609756097561,4.995839999999857,27.502366090802504,0.6696100345627081,5.4375,11.0,11.0,0.0,0.7763310185185186,0.0795265921409214,-224.25466666666676,0.08333333333333333,96.0,96.0,0.0
Fixed Interval,220,0.0947867298578199,0.9052132701421801,4.995839999999857,27.96253468956628,0.6695261742909312,5.4375,11.0,11.0,0.0,0.7624421296296295,0.0722693961734246,-238.7546666666665,0.08333333333333333,96.0,96.0,0.0
Fixed Interval,221,0.06493506493506493,0.935064935064935,4.995839999999857,27.87188910352081,0.6696757742662567,5.4375,11.0,11.0,0.0,0.7563657407407407,0.04911465848965848,-289.0046666666664,0.08333333333333333,96.0,96.0,0.0
Fixed Interval,222,0.0954356846473029,0.9045643153526971,4.995839999999857,27.42557524730638,0.6690629055188271,5.4375,11.0,11.0,0.0,0.7358217592592592,0.0702236533732903,-265.92133333333305,0.08333333333333333,96.0,96.0,0.0
Fixed Interval,223,0.10416666666666667,0.8958333333333334,4.995839999999857,27.78823108417696,0.6695356863498985,5.4375,11.0,11.0,0.0,0.7566550925925927,0.0788182388117284,-213.92133333333345,0.08333333333333333,96.0,96.0,0.0
Fixed Interval,224,0.09693877551020408,0.903061224489796,4.995839999999857,28.08723978600349,0.6699324402792235,5.4375,11.0,11.0,0.0,0.7722800925925927,0.07486388652683296,-220.92133333333325,0.08333333333333333,96.0,96.0,0.0
